2E0ATS Jim
2E0GNT John
2E0HPI Carl
2E0KVJ David
2E0XYL Karen
2E0YYY Mike
2E1IHZ Matt
2M0AJW JACK
2M0KAU Martin
2M0NCM Neil
2W0KGQ Jonathan
2W0VAC Chas
2W0WDS Wayne
2W0WUF Arentas
2W0YYY Mike
4O4SM Mario
9A1AA Ivo
9A2JG Koki
9A4KM Milan
9A4MF Milos
9A6DR Duby
9A7KM Milan
9A7W Ozren
9H4RH Robin
9M4MF Miro
AC1Z Bob
AE4FZ Charles
CT1BQH Joao
CT1BWW Marq
CT1DBS Pedro
CT2IUV Nuno
CT2IWW Paulo
CT2IXQ Antonio
CT2IXX Jacques
CT2JLS Sergio
CU3AA Joao
CU3BL Manuel
CU3EJ Leonel
CU3HF Pedro
DD5LP Ed
DF3MC Martin
DF4SA Cornelius
DF5WA Bert
DF7IS Klaus
DF7TT Juergen
DG2SBL Richard
DG3NEU Tobias
DJ3FY Walter
DJ4EY Jo
DJ5AA Al
DJ5AV Mike
DJ5WL Joe
DJ9MH Hajo
DK1WI Ed
DK2JK Bert
DK5WL Joe
DK7ZH Manfred
DK9JC Johnny
DL1ASA Tom
DL1AZZ Siggi
DL1DVE Thomas
DL1FU Frid
DL1JET Frank
DL1MDU Ernst
DL1OD Christian
DL1TSC Thomas
DL2DXA Bernd
DL2EF Frank
DL2HWI Dietmar
DL2JIM Siggi
DL2JQT Jano
DL2KAS Hans
DL2KDW Robert
DL2RVL Rainer
DL2XL Karl
DL3BRA Horst
DL3HWO Herbert
DL3HXX Lothar
DL3JPN Steffen
DL4ALI Steffen
DL4BQL Wolf
DL4CW Bernd
DL4FCK Gerhard
DL4FDM Fritz
DL4KCA Jochen
DL4TO Gerhard
DL5CMK Ehrhard
DL6AP Andreas
DL6CMK Erhard
DL6FAX Hans
DL6FBK Paul
DL6KVA Axel
DL6MST Klaus
DL6UHA Hans
DL6UNF Frank
DL6WT Juergen
DL7BW Bernd
DL7RAG Heinz
DL7URB Robert
DL7VKD Dieter
DL7YR Peter
DL8AAM Tom
DL8AWK Dieter
DL8DXL Fred
DL8MLD Lutz
DL8RL Axel
DL8USA Wolf
DL8UVG Volkhard
DL9MDI Manfred
DL9SXX Hanno
DM1LE Stephan
DM3SWD Hans
DO1DJJ Joerg
DO4GR Saki
E77O Slobodan
EA1AER Juan
EA2BD Ignacio
EA2BDS Marcial
EA2CKX Pedro
